region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,mean_damage_ratio,median_damage_ratio,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
Florida_PNAS_1B,Manatee,S1,Baseline,RP100,23908," $416,576.59 ",0.9031300908888964,1.0," $289,107.56 "," $927,678.71 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S1,Baseline,RP100,24020," $829,766.58 ",0.7522039352081311,1.0," $437,140.71 "," $2,017,939.17 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S1,Baseline,RP100,61257," $457,885.76 ",0.8624022097997154,1.0," $298,727.95 "," $1,454,886.10 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2,No Mangroves,RP010,39631," $247,509.21 ",0.618464506541235,0.5144695309316193," $165,790.36 "," $284,458.40 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2,No Mangroves,RP010,27915," $433,998.43 ",0.6398827239068476,0.5353327963744482," $272,012.81 "," $931,083.69 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2,No Mangroves,RP010,29835," $268,949.24 ",0.5276139886381928,0.3909952354343811," $170,059.97 "," $592,527.12 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S2,No Mangroves,RP010,77596," $245,111.70 ",0.6026629921814436,0.46796118733872216," $165,446.37 "," $344,730.38 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2,No Mangroves,RP010,23908," $308,518.83 ",0.6890823711209969,0.8824179011374713," $209,669.85 "," $746,131.93 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2,No Mangroves,RP010,24020," $507,271.64 ",0.4472955129091414,0.33771245968132285," $230,539.59 "," $1,346,456.55 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2,No Mangroves,RP010,61257," $347,640.69 ",0.6395661425736711,0.5243337401843643," $218,808.45 "," $1,269,729.21 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2,No Mangroves,RP025,39631," $309,972.35 ",0.7776563270429463,1.0," $236,954.18 "," $310,895.33 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2,No Mangroves,RP025,27915," $546,761.73 ",0.8052713446771889,1.0," $371,567.01 "," $1,138,123.61 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2,No Mangroves,RP025,29835," $340,439.60 ",0.6713296421248003,0.7641789921486377," $236,285.97 "," $678,128.05 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S2,No Mangroves,RP025,77596," $318,325.76 ",0.776876852610619,1.0," $256,792.27 "," $402,356.48 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2,No Mangroves,RP025,23908," $354,269.45 ",0.7828052167927039,1.0," $243,055.89 "," $810,160.98 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2,No Mangroves,RP025,24020," $642,035.66 ",0.6037486369120102,0.46570838377545043," $350,470.82 "," $1,551,636.20 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2,No Mangroves,RP025,61257," $402,111.73 ",0.7543405840840297,1.0," $263,989.09 "," $1,361,291.71 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2,No Mangroves,RP050,39631," $350,462.65 ",0.879719323514571,1.0," $276,492.71 "," $326,363.75 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2,No Mangroves,RP050,27915," $589,599.86 ",0.8479479731209874,1.0," $398,113.18 "," $1,334,084.40 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2,No Mangroves,RP050,29835," $395,550.16 ",0.7781311407722944,1.0," $287,586.35 "," $741,204.59 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S2,No Mangroves,RP050,77596," $358,705.13 ",0.868500504930228,1.0," $301,883.07 "," $439,881.67 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2,No Mangroves,RP050,23908," $391,932.36 ",0.8593101875123891,1.0," $270,768.57 "," $874,088.04 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2,No Mangroves,RP050,24020," $736,671.79 ",0.6940222743875071,0.7592571110713481," $407,426.52 "," $1,742,782.16 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2,No Mangroves,RP050,61257," $436,121.50 ",0.8263231779972163,1.0," $287,389.74 "," $1,395,598.32 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2,No Mangroves,RP100,39631," $361,737.27 ",0.9013906425594918,1.0," $284,774.72 "," $338,239.14 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2,No Mangroves,RP100,27915," $619,218.17 ",0.8697747458431512,1.0," $410,489.03 "," $1,582,235.63 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2,No Mangroves,RP100,29835," $430,493.66 ",0.8401273171370139,1.0," $321,612.95 "," $832,511.58 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
