region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,mean_damage_ratio,median_damage_ratio,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
USA_FL_08,Miami-Dade,S1,Baseline,RP100,5040," $757,505.39 ",0.43757158735007545,0.3293191331255922," $300,352.66 "," $1,785,178.54 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S1,Baseline,RP100,21827," $515,068.17 ",0.8766702385114155,1.0," $330,138.54 "," $1,194,027.52 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2,No Mangroves,RP010,2203," $224,537.62 ",0.5457409809156326,0.39481337461387356," $134,544.38 "," $273,030.06 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2,No Mangroves,RP010,8797," $340,402.02 ",0.522720215674785,0.3791825099051157," $213,009.38 "," $589,119.87 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S2,No Mangroves,RP010,82," $229,936.05 ",0.4856709007314672,0.3808390025722372," $150,896.66 "," $191,754.63 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2,No Mangroves,RP010,10764," $206,090.66 ",0.5570558194197912,0.3998708054113007," $111,121.87 "," $328,121.79 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2,No Mangroves,RP010,11872," $231,729.88 ",0.5697468926774796,0.39903470404203534," $131,583.83 "," $564,033.94 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2,No Mangroves,RP010,5040," $624,240.28 ",0.3037896747249785,0.2676080603380846," $189,833.43 "," $1,632,915.58 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2,No Mangroves,RP010,21827," $372,609.58 ",0.6306807764160336,0.5059142685514704," $226,409.49 "," $929,985.00 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2,No Mangroves,RP025,2203," $315,062.18 ",0.778394085335238,0.9961856794118881," $216,481.01 "," $318,918.04 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2,No Mangroves,RP025,8797," $506,388.56 ",0.8057352676044617,1.0," $411,142.78 "," $716,887.98 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S2,No Mangroves,RP025,82," $280,646.31 ",0.5896326998408751,0.4939974015316645," $191,637.04 "," $208,316.16 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2,No Mangroves,RP025,10764," $272,720.05 ",0.744120562826184,1.0," $183,982.89 "," $365,160.34 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2,No Mangroves,RP025,11872," $309,590.18 ",0.7384545796511509,0.9294005110049247," $209,104.71 "," $697,948.07 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2,No Mangroves,RP025,5040," $658,250.10 ",0.3399732956743299,0.2827589407313125," $214,662.80 "," $1,671,013.82 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2,No Mangroves,RP025,21827," $457,890.92 ",0.7863951684705488,1.0," $294,896.18 "," $1,091,799.92 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2,No Mangroves,RP050,2203," $362,595.71 ",0.8859974694948592,1.0," $252,592.41 "," $358,813.93 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2,No Mangroves,RP050,8797," $558,857.82 ",0.8799437207646743,1.0," $440,987.57 "," $822,861.57 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S2,No Mangroves,RP050,82," $321,722.53 ",0.6824055158726466,0.5540843147295962," $264,507.49 "," $203,365.66 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2,No Mangroves,RP050,10764," $332,210.96 ",0.8933792311438603,1.0," $252,691.36 "," $396,476.72 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2,No Mangroves,RP050,11872," $372,159.91 ",0.8622125141154892,1.0," $262,659.52 "," $761,830.34 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2,No Mangroves,RP050,5040," $686,068.71 ",0.36438906442914926,0.2930514575861709," $232,933.19 "," $1,714,535.43 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2,No Mangroves,RP050,21827," $498,820.64 ",0.8592993851890607,1.0," $321,760.08 "," $1,153,681.30 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2,No Mangroves,RP100,2203," $372,022.19 ",0.9024435856447122,1.0," $261,908.26 "," $361,109.66 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2,No Mangroves,RP100,8797," $579,104.64 ",0.8965286617549058,1.0," $446,640.36 "," $957,060.64 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S2,No Mangroves,RP100,82," $416,379.18 ",0.8872443328995389,1.0," $392,849.40 "," $187,686.83 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2,No Mangroves,RP100,10764," $348,936.47 ",0.9216028478139003,1.0," $266,884.18 "," $449,484.16 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2,No Mangroves,RP100,11872," $398,983.39 ",0.9034018869000935,1.0," $283,478.78 "," $834,456.82 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2,No Mangroves,RP100,5040," $766,898.25 ",0.44090283804103597,0.3304903193392298," $303,357.94 "," $1,808,640.60 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2,No Mangroves,RP100,21827," $515,052.33 ",0.8766573957163594,1.0," $330,138.54 "," $1,194,004.25 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S1CC,CC 2050,RP010,2203," $312,644.66 ",0.7677842809877001,0.9679134628880022," $215,952.11 "," $319,088.53 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S1CC,CC 2050,RP010,8797," $451,171.01 ",0.7103153522538044,0.8607901458466053," $371,845.17 "," $676,164.63 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S1CC,CC 2050,RP010,82," $293,335.52 ",0.6195510612154448,0.49662784655271636," $234,141.99 "," $207,780.95 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S1CC,CC 2050,RP010,10764," $252,854.53 ",0.6836248331306272,0.8357278557849546," $157,510.65 "," $356,199.46 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP010,11872," $321,545.53 ",0.7647119557383255,0.9865133197271823," $221,048.91 "," $708,802.30 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP010,5040," $805,317.04 ",0.46673411999423264,0.34501160377258033," $328,090.00 "," $1,856,617.78 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP010,21827," $461,017.95 ",0.7920805288311049,1.0," $297,960.14 "," $1,096,778.54 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S1CC,CC 2050,RP025,2203," $358,637.24 ",0.8777586323000145,1.0," $248,348.85 "," $356,007.14 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S1CC,CC 2050,RP025,8797," $544,760.95 ",0.8615331880855303,1.0," $434,143.50 "," $782,149.83 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S1CC,CC 2050,RP025,82," $338,743.77 ",0.716414348815936,0.7705397055393457," $320,589.86 "," $200,898.30 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S1CC,CC 2050,RP025,10764," $296,712.84 ",0.8025738329841595,1.0," $213,051.29 "," $380,410.09 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP025,11872," $375,835.53 ",0.8699979277888625,1.0," $266,148.34 "," $762,303.13 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP025,5040," $836,715.79 ",0.5024115840419351,0.3734762173448655," $361,285.88 "," $1,892,535.05 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP025,21827," $499,453.44 ",0.8598250079689541,1.0," $322,138.98 "," $1,155,443.87 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S1CC,CC 2050,RP050,2203," $368,498.96 ",0.896708166957399,1.0," $255,701.38 "," $359,825.94 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S1CC,CC 2050,RP050,8797," $566,957.58 ",0.8868433975965738,1.0," $443,661.05 "," $875,661.93 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S1CC,CC 2050,RP050,82," $412,638.38 ",0.878716499787379,0.9977287194561959," $390,321.62 "," $187,766.92 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S1CC,CC 2050,RP050,10764," $339,579.39 ",0.9072543834644535,1.0," $258,581.73 "," $416,079.93 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP050,11872," $396,658.72 ",0.9010430309035014,1.0," $282,230.72 "," $819,111.94 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP050,5040," $880,901.41 ",0.5596300268490766,0.4019187647208532," $405,117.32 "," $1,940,532.53 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP050,21827," $513,135.10 ",0.8750355875219441,1.0," $329,112.32 "," $1,187,341.08 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S1CC,CC 2050,RP100,2203," $375,837.62 ",0.9083743345743867,1.0," $266,570.16 "," $363,416.77 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S1CC,CC 2050,RP100,8797," $584,662.13 ",0.8999378340598944,1.0," $448,346.22 "," $1,009,132.51 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S1CC,CC 2050,RP100,82," $426,992.70 ",0.9097652041316201,1.0," $403,678.63 "," $189,224.91 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S1CC,CC 2050,RP100,10764," $352,067.32 ",0.9236319650213067,1.0," $267,611.28 "," $478,409.35 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP100,11872," $405,537.70 ",0.909953582954906,1.0," $287,953.27 "," $907,987.60 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP100,5040," $960,373.69 ",0.6499228938886147,0.5082224963177999," $473,831.92 "," $2,027,188.45 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP100,21827," $525,688.74 ",0.8853539054330415,1.0," $333,965.64 "," $1,239,466.12 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP010,2203," $314,889.73 ",0.7774297760966636,0.9923388526165486," $216,357.79 "," $318,853.60 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP010,8797," $457,808.70 ",0.7233670621542855,0.8890084874355793," $375,977.75 "," $679,578.81 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
