region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
USA_FL_W2_06,Lee,S1CC,CC 2050,RP010,10764,"$252,854.53","$157,510.65","$356,199.46","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP010,11872,"$321,545.53","$221,048.91","$708,802.30","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP010,5040,"$805,317.04","$328,090.00","$1,856,617.78","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP010,21827,"$461,017.95","$297,960.14","$1,096,778.54","$651,451.15","$379,903.00","$2,016,182.58"
USA_FL_W2_06,Charlotte,S1CC,CC 2050,RP025,2203,"$358,637.24","$248,348.85","$356,007.14","$431,688.47","$312,438.29","$425,586.46"
USA_FL_W2_06,Collier,S1CC,CC 2050,RP025,8797,"$544,760.95","$434,143.50","$782,149.83","$692,456.37","$480,079.42","$1,513,198.26"
USA_FL_W2_06,Hillsborough,S1CC,CC 2050,RP025,82,"$338,743.77","$320,589.86","$200,898.30","$486,391.90","$431,117.19","$278,937.98"
USA_FL_W2_06,Lee,S1CC,CC 2050,RP025,10764,"$296,712.84","$213,051.29","$380,410.09","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP025,11872,"$375,835.53","$266,148.34","$762,303.13","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP025,5040,"$836,715.79","$361,285.88","$1,892,535.05","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP025,21827,"$499,453.44","$322,138.98","$1,155,443.87","$651,451.15","$379,903.00","$2,016,182.58"
USA_FL_W2_06,Charlotte,S1CC,CC 2050,RP050,2203,"$368,498.96","$255,701.38","$359,825.94","$431,688.47","$312,438.29","$425,586.46"
USA_FL_W2_06,Collier,S1CC,CC 2050,RP050,8797,"$566,957.58","$443,661.05","$875,661.93","$692,456.37","$480,079.42","$1,513,198.26"
USA_FL_W2_06,Hillsborough,S1CC,CC 2050,RP050,82,"$412,638.38","$390,321.62","$187,766.92","$486,391.90","$431,117.19","$278,937.98"
